---
title: Model Properties Table
hide-toc: true
---
# Model Properties Table

also see the [interactive model table](../_static/model_properties_table_interactive.html)
| name.default_alias                    | name.huggingface                                                                                                            | n_params.as_str   |   n_params.as_int |   cfg.n_params |   cfg.n_layers |   cfg.n_heads |   cfg.d_model |   cfg.d_vocab | cfg.act_fn        | cfg.positional_embedding_type   | cfg.parallel_attn_mlp   | cfg.original_architecture      | cfg.normalization_type   | tokenizer.name                              | tokenizer.class         | tokenizer.vocab_size   | tokenizer.vocab_hash         |
| solu-1l-pile                          | [NeelNanda/SoLU_1L_v9_old](https://huggingface.co/NeelNanda/SoLU_1L_v9_old)                                                 | 13M               |          12582912 |       12582912 |              1 |            16 |          1024 |         50278 | solu_ln           | standard                        | False                   | neel-solu-old                  | LN                       | EleutherAI/gpt-neox-20b                     | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| solu-2l-pile                          | [NeelNanda/SoLU_2L_v10_old](https://huggingface.co/NeelNanda/SoLU_2L_v10_old)                                               | 13M               |          12812288 |       12812288 |              2 |            11 |           736 |         50278 | solu_ln           | standard                        | False                   | neel-solu-old                  | LNPre                    | EleutherAI/gpt-neox-20b                     | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| solu-4l-pile                          | [NeelNanda/SoLU_4L_v11_old](https://huggingface.co/NeelNanda/SoLU_4L_v11_old)                                               | 13M               |          12582912 |       12582912 |              4 |             8 |           512 |         50278 | solu_ln           | standard                        | False                   | neel-solu-old                  | LNPre                    | EleutherAI/gpt-neox-20b                     | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| solu-6l-pile                          | [NeelNanda/SoLU_6L_v13_old](https://huggingface.co/NeelNanda/SoLU_6L_v13_old)                                               | 42M               |          42467328 |       42467328 |              6 |            12 |           768 |         50278 | solu_ln           | standard                        | False                   | neel-solu-old                  | LNPre                    | EleutherAI/gpt-neox-20b                     | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| solu-8l-pile                          | [NeelNanda/SoLU_8L_v21_old](https://huggingface.co/NeelNanda/SoLU_8L_v21_old)                                               | 101M              |         100663296 |      100663296 |              8 |            16 |          1024 |         50278 | solu_ln           | standard                        | False                   | neel-solu-old                  | LNPre                    | EleutherAI/gpt-neox-20b                     | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| solu-10l-pile                         | [NeelNanda/SoLU_10L_v22_old](https://huggingface.co/NeelNanda/SoLU_10L_v22_old)                                             | 197M              |         196608000 |      196608000 |             10 |            20 |          1280 |         50278 | solu_ln           | standard                        | False                   | neel-solu-old                  | LNPre                    | EleutherAI/gpt-neox-20b                     | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| solu-12l-pile                         | [NeelNanda/SoLU_12L_v23_old](https://huggingface.co/NeelNanda/SoLU_12L_v23_old)                                             | 340M              |         339738624 |      339738624 |             12 |            24 |          1536 |         50278 | solu_ln           | standard                        | False                   | neel-solu-old                  | LN                       | EleutherAI/gpt-neox-20b                     | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| solu-1l                               | [NeelNanda/SoLU_1L512W_C4_Code](https://huggingface.co/NeelNanda/SoLU_1L512W_C4_Code)                                       | 3.1M              |           3145728 |        3145728 |              1 |             8 |           512 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| solu-2l                               | [NeelNanda/SoLU_2L512W_C4_Code](https://huggingface.co/NeelNanda/SoLU_2L512W_C4_Code)                                       | 6.3M              |           6291456 |        6291456 |              2 |             8 |           512 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| solu-3l                               | [NeelNanda/SoLU_3L512W_C4_Code](https://huggingface.co/NeelNanda/SoLU_3L512W_C4_Code)                                       | 9.4M              |           9437184 |        9437184 |              3 |             8 |           512 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| solu-4l                               | [NeelNanda/SoLU_4L512W_C4_Code](https://huggingface.co/NeelNanda/SoLU_4L512W_C4_Code)                                       | 13M               |          12582912 |       12582912 |              4 |             8 |           512 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| solu-6l                               | [NeelNanda/SoLU_6L768W_C4_Code](https://huggingface.co/NeelNanda/SoLU_6L768W_C4_Code)                                       | 42M               |          42467328 |       42467328 |              6 |            12 |           768 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| solu-8l                               | [NeelNanda/SoLU_8L1024W_C4_Code](https://huggingface.co/NeelNanda/SoLU_8L1024W_C4_Code)                                     | 101M              |         100663296 |      100663296 |              8 |            16 |          1024 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| solu-10l                              | [NeelNanda/SoLU_10L1280W_C4_Code](https://huggingface.co/NeelNanda/SoLU_10L1280W_C4_Code)                                   | 197M              |         196608000 |      196608000 |             10 |            20 |          1280 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| solu-12l                              | [NeelNanda/SoLU_12L1536W_C4_Code](https://huggingface.co/NeelNanda/SoLU_12L1536W_C4_Code)                                   | 340M              |         339738624 |      339738624 |             12 |            24 |          1536 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| gelu-1l                               | [NeelNanda/GELU_1L512W_C4_Code](https://huggingface.co/NeelNanda/GELU_1L512W_C4_Code)                                       | 3.1M              |           3145728 |        3145728 |              1 |             8 |           512 |         48262 | gelu              | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| gelu-2l                               | [NeelNanda/GELU_2L512W_C4_Code](https://huggingface.co/NeelNanda/GELU_2L512W_C4_Code)                                       | 6.3M              |           6291456 |        6291456 |              2 |             8 |           512 |         48262 | gelu              | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| gelu-3l                               | [NeelNanda/GELU_3L512W_C4_Code](https://huggingface.co/NeelNanda/GELU_3L512W_C4_Code)                                       | 9.4M              |           9437184 |        9437184 |              3 |             8 |           512 |         48262 | gelu              | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| gelu-4l                               | [NeelNanda/GELU_4L512W_C4_Code](https://huggingface.co/NeelNanda/GELU_4L512W_C4_Code)                                       | 13M               |          12582912 |       12582912 |              4 |             8 |           512 |         48262 | gelu              | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| attn-only-1l                          | [NeelNanda/Attn_Only_1L512W_C4_Code](https://huggingface.co/NeelNanda/Attn_Only_1L512W_C4_Code)                             | 1.0M              |           1048576 |        1048576 |              1 |             8 |           512 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| attn-only-2l                          | [NeelNanda/Attn_Only_2L512W_C4_Code](https://huggingface.co/NeelNanda/Attn_Only_2L512W_C4_Code)                             | 2.1M              |           2097152 |        2097152 |              2 |             8 |           512 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| attn-only-3l                          | [NeelNanda/Attn_Only_3L512W_C4_Code](https://huggingface.co/NeelNanda/Attn_Only_3L512W_C4_Code)                             | 3.1M              |           3145728 |        3145728 |              3 |             8 |           512 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| attn-only-4l                          | [NeelNanda/Attn_Only_4L512W_C4_Code](https://huggingface.co/NeelNanda/Attn_Only_4L512W_C4_Code)                             | 4.2M              |           4194304 |        4194304 |              4 |             8 |           512 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| attn-only-2l-demo                     | [NeelNanda/Attn-Only-2L512W-Shortformer-6B-big-lr](https://huggingface.co/NeelNanda/Attn-Only-2L512W-Shortformer-6B-big-lr) | 2.1M              |           2097152 |        2097152 |              2 |             8 |           512 |         50277 | solu_ln           | shortformer                     | False                   | neel                           |                          | EleutherAI/gpt-neox-20b                     | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| solu-1l-wiki                          | [NeelNanda/SoLU_1L512W_Wiki_Finetune](https://huggingface.co/NeelNanda/SoLU_1L512W_Wiki_Finetune)                           | 3.1M              |           3145728 |        3145728 |              1 |             8 |           512 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| solu-4l-wiki                          | [NeelNanda/SoLU_4L512W_Wiki_Finetune](https://huggingface.co/NeelNanda/SoLU_4L512W_Wiki_Finetune)                           | 13M               |          12582912 |       12582912 |              4 |             8 |           512 |         48262 | solu_ln           | standard                        | False                   | neel                           | LN                       | NeelNanda/gpt-neox-tokenizer-digits         | PreTrainedTokenizerFast | 48262.0                | AsGo9tS8Sq4-rlVHM2o3-GyDkJU= |
| redwood_attn_2l                       | [ArthurConmy/redwood_attn_2l](https://huggingface.co/ArthurConmy/redwood_attn_2l)                                           | 524K              |            524288 |         524288 |              2 |             8 |           256 |         50259 | gelu_new          | shortformer                     | False                   | neel                           | LN                       | ArthurConmy/redwood_tokenizer               | GPT2TokenizerFast       | 50257.0                | J8auoAiqFanHN7mOtkTrFA9voRk= |
| llama-7b                              | [llama-7b-hf](https://huggingface.co/llama-7b-hf)                                                                           | 6.5B              |        6476005376 |     6476005376 |             32 |            32 |          4096 |         32000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | huggyllama/llama-7b                         | LlamaTokenizerFast      | 32000.0                | e3A7wYziNQPAWcJ15GMAQY8qZqw= |
| llama-13b                             | [llama-13b-hf](https://huggingface.co/llama-13b-hf)                                                                         | 13B               |       12687769600 |    12687769600 |             40 |            40 |          5120 |         32000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | huggyllama/llama-13b                        | LlamaTokenizerFast      | 32000.0                | e3A7wYziNQPAWcJ15GMAQY8qZqw= |
| llama-30b                             | [llama-30b-hf](https://huggingface.co/llama-30b-hf)                                                                         | 32B               |       32102154240 |    32102154240 |             60 |            52 |          6656 |         32000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | huggyllama/llama-30b                        | LlamaTokenizerFast      | 32000.0                | e3A7wYziNQPAWcJ15GMAQY8qZqw= |
| llama-65b                             | [llama-65b-hf](https://huggingface.co/llama-65b-hf)                                                                         | 65B               |       64760053760 |    64760053760 |             80 |            64 |          8192 |         32000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | huggyllama/llama-65b                        | LlamaTokenizerFast      | 32000.0                | e3A7wYziNQPAWcJ15GMAQY8qZqw= |
| Llama-2-7b                            |                                                                                                                             | 6.5B              |        6476005376 |     6476005376 |             32 |            32 |          4096 |         32000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-2-7b-hf                    | LlamaTokenizerFast      | 32000.0                | e3A7wYziNQPAWcJ15GMAQY8qZqw= |
| Llama-2-7b-chat                       |                                                                                                                             | 6.5B              |        6476005376 |     6476005376 |             32 |            32 |          4096 |         32000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-2-7b-chat-hf               | LlamaTokenizerFast      | 32000.0                | e3A7wYziNQPAWcJ15GMAQY8qZqw= |
| Llama-2-13b                           |                                                                                                                             | 13B               |       12687769600 |    12687769600 |             40 |            40 |          5120 |         32000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-2-13b-hf                   | LlamaTokenizerFast      | 32000.0                | e3A7wYziNQPAWcJ15GMAQY8qZqw= |
| Llama-2-13b-chat                      |                                                                                                                             | 13B               |       12687769600 |    12687769600 |             40 |            40 |          5120 |         32000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-2-13b-chat-hf              | LlamaTokenizerFast      | 32000.0                | e3A7wYziNQPAWcJ15GMAQY8qZqw= |
| Llama-2-70b-chat                      |                                                                                                                             | 78B               |       77846282240 |    77846282240 |             80 |            64 |          8192 |         32000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-2-70b-chat-hf              | LlamaTokenizerFast      | 32000.0                | e3A7wYziNQPAWcJ15GMAQY8qZqw= |
| CodeLlamallama-2-7b                   |                                                                                                                             | 6.5B              |        6476005376 |     6476005376 |             32 |            32 |          4096 |         32016 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | codellama/CodeLlama-7b-hf                   | CodeLlamaTokenizerFast  | 32016.0                | Tq7bUWJcm1X5kj9R-2uR1o7lSq8= |
| CodeLlama-7b-python                   |                                                                                                                             | 6.5B              |        6476005376 |     6476005376 |             32 |            32 |          4096 |         32000 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | codellama/CodeLlama-7b-Python-hf            | CodeLlamaTokenizerFast  | 32000.0                | 8UzKES6KUWi5kIvXOLgDHqiLXZk= |
| CodeLlama-7b-instruct                 |                                                                                                                             | 6.5B              |        6476005376 |     6476005376 |             32 |            32 |          4096 |         32016 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | codellama/CodeLlama-7b-Instruct-hf          | CodeLlamaTokenizerFast  | 32016.0                | Tq7bUWJcm1X5kj9R-2uR1o7lSq8= |
| meta-llama/Meta-Llama-3-8B            |                                                                                                                             | 7.8B              |        7784628224 |     7784628224 |             32 |            32 |          4096 |        128256 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Meta-Llama-3-8B                  | PreTrainedTokenizerFast | 128000.0               | RnzNv9w_ITBp6b2dcibKR7_l85I= |
| meta-llama/Meta-Llama-3-8B-Instruct   |                                                                                                                             | 7.8B              |        7784628224 |     7784628224 |             32 |            32 |          4096 |        128256 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Meta-Llama-3-8B-Instruct         | PreTrainedTokenizerFast | 128000.0               | RnzNv9w_ITBp6b2dcibKR7_l85I= |
| meta-llama/Meta-Llama-3-70B           |                                                                                                                             | 78B               |       77846282240 |    77846282240 |             80 |            64 |          8192 |        128256 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Meta-Llama-3-70B                 | PreTrainedTokenizerFast | 128000.0               | RnzNv9w_ITBp6b2dcibKR7_l85I= |
| meta-llama/Meta-Llama-3-70B-Instruct  |                                                                                                                             | 78B               |       77846282240 |    77846282240 |             80 |            64 |          8192 |        128256 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Meta-Llama-3-70B-Instruct        | PreTrainedTokenizerFast | 128000.0               | RnzNv9w_ITBp6b2dcibKR7_l85I= |
| meta-llama/Llama-3.1-70B              |                                                                                                                             | 78B               |       77846282240 |    77846282240 |             80 |            64 |          8192 |        128256 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-3.1-70B                    | PreTrainedTokenizerFast | 128000.0               | j9N50ddC7mjCgS4GseU9LmKZDKk= |
| meta-llama/Llama-3.1-8B               |                                                                                                                             | 7.8B              |        7784628224 |     7784628224 |             32 |            32 |          4096 |        128256 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-3.1-8B                     | PreTrainedTokenizerFast | 128000.0               | j9N50ddC7mjCgS4GseU9LmKZDKk= |
| meta-llama/Llama-3.1-8B-Instruct      |                                                                                                                             | 7.8B              |        7784628224 |     7784628224 |             32 |            32 |          4096 |        128256 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-3.1-8B-Instruct            | PreTrainedTokenizerFast | 128000.0               | j9N50ddC7mjCgS4GseU9LmKZDKk= |
| meta-llama/Llama-3.1-70B-Instruct     |                                                                                                                             | 78B               |       77846282240 |    77846282240 |             80 |            64 |          8192 |        128256 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-3.1-70B-Instruct           | PreTrainedTokenizerFast | 128000.0               | j9N50ddC7mjCgS4GseU9LmKZDKk= |
| meta-llama/Llama-3.2-1B               |                                                                                                                             | 1.1B              |        1073741824 |     1073741824 |             16 |            32 |          2048 |        128256 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-3.2-1B                     | PreTrainedTokenizerFast | 128000.0               | j9N50ddC7mjCgS4GseU9LmKZDKk= |
| meta-llama/Llama-3.2-3B               |                                                                                                                             | 3.2B              |        3170893824 |     3170893824 |             28 |            24 |          3072 |        128256 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-3.2-3B                     | PreTrainedTokenizerFast | 128000.0               | j9N50ddC7mjCgS4GseU9LmKZDKk= |
| meta-llama/Llama-3.2-1B-Instruct      |                                                                                                                             | 1.1B              |        1073741824 |     1073741824 |             16 |            32 |          2048 |        128256 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-3.2-1B-Instruct            | PreTrainedTokenizerFast | 128000.0               | j9N50ddC7mjCgS4GseU9LmKZDKk= |
| meta-llama/Llama-3.2-3B-Instruct      |                                                                                                                             | 3.2B              |        3170893824 |     3170893824 |             28 |            24 |          3072 |        128256 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-3.2-3B-Instruct            | PreTrainedTokenizerFast | 128000.0               | j9N50ddC7mjCgS4GseU9LmKZDKk= |
| meta-llama/Llama-3.3-70B-Instruct     |                                                                                                                             | 78B               |       77846282240 |    77846282240 |             80 |            64 |          8192 |        128256 | silu              | rotary                          | False                   | LlamaForCausalLM               | RMS                      | meta-llama/Llama-3.3-70B-Instruct           | PreTrainedTokenizerFast | 128000.0               | j9N50ddC7mjCgS4GseU9LmKZDKk= |
| othello-gpt                           | [Baidicoot/Othello-GPT-Transformer-Lens](https://huggingface.co/Baidicoot/Othello-GPT-Transformer-Lens)                     | 25M               |          25165824 |       25165824 |              8 |             8 |           512 |            61 | gelu              | standard                        | False                   | mingpt                         | LN                       |                                             |                         |                        |                              |
| bert-base-cased                       | [google-bert/bert-base-cased](https://huggingface.co/google-bert/bert-base-cased)                                           | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         28996 | gelu              | standard                        | False                   | BertForMaskedLM                | LN                       | google-bert/bert-base-cased                 | BertTokenizerFast       | 28996.0                | SSKvHuFYtPbvgwMSLSIhfFE_kF8= |
| bert-base-uncased                     | [google-bert/bert-base-uncased](https://huggingface.co/google-bert/bert-base-uncased)                                       | 85M               |          84934656 |       84934656 |             12 |            12 |           768 |         30522 | gelu              | standard                        | False                   | BertForMaskedLM                | LN                       | google-bert/bert-base-uncased               | BertTokenizerFast       | 30522.0                | G9iEWgpI_JY73i8Lym9gBVhq4BI= |
| bert-large-cased                      | [google-bert/bert-large-cased](https://huggingface.co/google-bert/bert-large-cased)                                         | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |         28996 | gelu              | standard                        | False                   | BertForMaskedLM                | LN                       | google-bert/bert-large-cased                | BertTokenizerFast       | 28996.0                | SSKvHuFYtPbvgwMSLSIhfFE_kF8= |
| bert-large-uncased                    | [google-bert/bert-large-uncased](https://huggingface.co/google-bert/bert-large-uncased)                                     | 302M              |         301989888 |      301989888 |             24 |            16 |          1024 |         30522 | gelu              | standard                        | False                   | BertForMaskedLM                | LN                       | google-bert/bert-large-uncased              | BertTokenizerFast       | 30522.0                | G9iEWgpI_JY73i8Lym9gBVhq4BI= |
| tiny-stories-1M                       |                                                                                                                             | 393K              |            393216 |         393216 |              8 |            16 |            64 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-1M                   | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| tiny-stories-3M                       |                                                                                                                             | 1.6M              |           1572864 |        1572864 |              8 |            16 |           128 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-3M                   | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| tiny-stories-8M                       |                                                                                                                             | 6.3M              |           6291456 |        6291456 |              8 |            16 |           256 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-8M                   | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| tiny-stories-28M                      |                                                                                                                             | 25M               |          25165824 |       25165824 |              8 |            16 |           512 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-28M                  | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| tiny-stories-33M                      |                                                                                                                             | 28M               |          28311552 |       28311552 |              4 |            16 |           768 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-33M                  | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| tiny-stories-instruct-1M              |                                                                                                                             | 393K              |            393216 |         393216 |              8 |            16 |            64 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-Instruct-1M          | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| tiny-stories-instruct-3M              |                                                                                                                             | 1.6M              |           1572864 |        1572864 |              8 |            16 |           128 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-Instruct-3M          | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| tiny-stories-instruct-8M              |                                                                                                                             | 6.3M              |           6291456 |        6291456 |              8 |            16 |           256 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-Instruct-8M          | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| tiny-stories-instruct-28M             |                                                                                                                             | 25M               |          25165824 |       25165824 |              8 |            16 |           512 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-Instruct-28M         | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| tiny-stories-instruct-33M             |                                                                                                                             | 28M               |          28311552 |       28311552 |              4 |            16 |           768 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-Instruct-33M         | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| tiny-stories-1L-21M                   |                                                                                                                             | 13M               |          12582912 |       12582912 |              1 |            16 |          1024 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-1Layer-21M           | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| tiny-stories-2L-33M                   |                                                                                                                             | 25M               |          25165824 |       25165824 |              2 |            16 |          1024 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-2Layers-33M          | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| tiny-stories-instruct-1L-21M          |                                                                                                                             | 13M               |          12582912 |       12582912 |              1 |            16 |          1024 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-Instuct-1Layer-21M   | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| tiny-stories-instruct-2L-33M          |                                                                                                                             | 25M               |          25165824 |       25165824 |              2 |            16 |          1024 |         50257 | gelu_new          | standard                        | False                   | GPTNeoForCausalLM              | LN                       | roneneldan/TinyStories-Instruct-2Layers-33M | GPT2TokenizerFast       | 50257.0                | v8xfIj5kwZX5RwgLU66lZNZUlE4= |
| stablelm-base-alpha-3b                | [stabilityai/stablelm-base-alpha-3b](https://huggingface.co/stabilityai/stablelm-base-alpha-3b)                             | 3.2B              |        3221225472 |     3221225472 |             16 |            32 |          4096 |         50688 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | stabilityai/stablelm-base-alpha-3b          | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| stablelm-base-alpha-7b                | [stabilityai/stablelm-base-alpha-7b](https://huggingface.co/stabilityai/stablelm-base-alpha-7b)                             | 7.2B              |        7247757312 |     7247757312 |             16 |            48 |          6144 |         50432 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | stabilityai/stablelm-base-alpha-7b          | GPTNeoXTokenizerFast    | 50254.0                | 96EawM8Lij99W7OBTk0KW2ELUrQ= |
| stablelm-tuned-alpha-3b               | [stabilityai/stablelm-tuned-alpha-3b](https://huggingface.co/stabilityai/stablelm-tuned-alpha-3b)                           | 3.2B              |        3221225472 |     3221225472 |             16 |            32 |          4096 |         50688 | gelu              | rotary                          | True                    | GPTNeoXForCausalLM             | LN                       | stabilityai/stablelm-tuned-alpha-3b         | GPTNeoXTokenizerFast    | 50254.0                | RD3vcWSd_TiTpqo5dHyICzaXtGQ= |
